rank,city,score,dataConfidence,infrastructure,safety,usage,connectivity,policy,comfort,cycleNetworkEquivalentNormalized,pedestrianAreasNormalized,roadVictimsNormalized,motorizationRateNormalized,publicTransportPassengersNormalized,publicTransportOfferNormalized,ztlNormalized,nitrogenDioxideNormalized,pm10Normalized,pm25Normalized,ozoneNormalized,fiabBikeSmileNormalized,bikeModalSharePercentNormalized,externalPolicyScoreNormalized
1,Cosenza,61.65,100,66.49,70.19,,12.76,,78.82,76.71,25.61,89.85,33.68,1.94,25.18,6.19,100,100,15.29,100,,,
2,Reggio Emilia,58.99,100,81.65,35.31,,21.65,86,21.72,100,8.26,54.32,0,16.89,24.56,22.35,38.82,15.39,0,31.11,100,,
3,Lodi,53.39,100,60.64,65.27,,4.84,,20.49,75.01,3.18,66.46,63.05,1.59,10.61,0,36.91,9.44,25.55,3.33,,,
4,Venezia,53.25,100,33.39,88.63,,53.15,,28.45,22.4,77.37,82.51,100,100,50.04,10.66,29.7,3.2,32.28,53.33,,,
5,Mantova,52.39,100,55.79,48.64,,40.39,,25.6,68.74,4.01,47.33,51.08,10.87,27.83,87.48,44.54,6.94,13.58,35.56,,,
6,Cremona,51.38,100,61.5,46.06,,19.61,,23.37,74.62,9,42.16,53.29,6.55,30.38,17.58,35.95,1.9,14.65,42.22,,,
7,Sondrio,51.05,100,47.03,78.18,,2.63,,52,57.29,5.98,87.77,60.37,0.64,5.94,0,51.75,35.33,37.67,91.11,,,
8,Cesena,50.8,100,55.75,53.3,,17.7,86,38.83,69.5,0.76,57.53,45.43,9.66,17.24,26.4,52.62,28.35,16.71,58.89,100,,
9,Cuneo,49.33,100,54.26,50.33,,15.7,,45.29,66.26,6.28,64.54,23.93,5.9,17.64,22.78,55.73,30.71,19.59,80,,,
10,Treviso,47.86,100,45.52,62.43,83.33,20.53,,28.31,56.07,3.34,64.84,57.96,16.04,30.71,10.76,35.1,4.51,12.38,67.78,,83.33,
11,Benevento,47.26,100,38.8,74.15,,13.45,,46.02,47.04,5.86,90.75,43.31,2.36,15.18,22.12,51.82,18.12,38.9,81.11,,,
12,Verbania,45.17,100,48.69,48.91,,7.82,,48.59,52.91,31.8,51.6,43.9,7.59,13.56,0,63.54,50.8,24.65,53.33,,,
13,Ferrara,44.38,100,38.86,57.06,90,25.79,86,36.26,47.08,6,61.24,49.31,13.63,17.11,50.09,48.99,21.8,14.68,62.22,100,90,
14,Parma,43.8,100,35.82,60.16,,31.16,64.5,23.49,41.81,11.86,62.16,56.46,25.87,35.9,29.82,38.42,15.86,6.21,32.22,75,,
15,Rimini,42.41,100,35.44,41.97,,49.53,86,35.3,34.73,38.29,34.61,55.63,18.74,35.47,100,35.27,19.6,15.28,80,100,,
16,Padova,42.08,100,39.77,47.61,,27.83,,22.35,48.29,5.68,41.26,59.39,17.94,32.04,31.84,23.56,0,32.68,35.56,,,
17,Teramo,42.01,100,24,70.85,,32.03,,49.77,30,0,93.37,29.02,0.13,15.32,87.33,48.4,38.99,21.99,100,,,
18,Pesaro,41.71,100,39.4,51.17,83.33,11.9,86,48.7,47.22,8.11,53.26,47.29,2.7,7.86,26.77,58.33,21.27,34.2,86.67,100,83.33,
